Airline,Date_of_Journey,Source,Destination,Route,Distance,via_1,Dep_Time,Arrival_Time,Duration,Total_Stops,Additional_Info,Price,Flight_Category,market_share
IndiGo,24-03-19,Banglore,New Delhi,BLR → DEL,1740,No,22:20,1:10,170,non-stop,No info,3897,Low,0.011442832
Air India,01-05-19,Kolkata,Banglore,CCU → IXR → BBI → BLR,1897,IXR,5:50,13:15,445,2 stops,No info,7662,Mid,0.032907883
Jet Airways,09-06-19,Delhi,Cochin,DEL → LKO → BOM → COK,2670,LKO,9:25,4:25,1140,2 stops,No info,13882,High,0.092673869
IndiGo,12-05-19,Kolkata,Banglore,CCU → NAG → BLR,1905,NAG,18:05,23:30,325,1 stop,No info,6218,Low,0.008095207
IndiGo,01-03-19,Banglore,New Delhi,BLR → NAG → DEL,1777,NAG,16:50,21:35,285,1 stop,No info,13302,Low,0.011442832
SpiceJet,24-06-19,Kolkata,Banglore,CCU → BLR,1559,No,9:00,11:25,145,non-stop,No info,3873,Low,0.003905035
Jet Airways,12-03-19,Banglore,New Delhi,BLR → BOM → DEL,2251,BOM,18:55,10:25,930,1 stop,In-flight meal not included,11087,High,0.066758984
Jet Airways,01-03-19,Banglore,New Delhi,BLR → BOM → DEL,2251,BOM,8:00,5:05,1265,1 stop,No info,22270,High,0.066758984
Jet Airways,12-03-19,Banglore,New Delhi,BLR → BOM → DEL,2251,BOM,8:55,10:25,1530,1 stop,In-flight meal not included,11087,High,0.066758984
Multiple carriers,27-05-19,Delhi,Cochin,DEL → BOM → COK,2472,BOM,11:25,19:15,470,1 stop,No info,8625,High,0.039017972
Air India,01-06-19,Delhi,Cochin,DEL → BLR → COK,2107,BLR,9:45,23:00,795,1 stop,No info,8907,Mid,0.029230629
IndiGo,18-04-19,Kolkata,Banglore,CCU → BLR,1559,No,20:20,22:55,155,non-stop,No info,4174,Low,0.005137245
Air India,24-06-19,Chennai,Kolkata,MAA → CCU,1366,No,11:40,13:55,135,non-stop,No info,4667,Mid,0.000296488
Jet Airways,09-05-19,Kolkata,Banglore,CCU → BOM → BLR,2507,BOM,21:10,9:20,730,1 stop,In-flight meal not included,9663,High,0.096462869
IndiGo,24-04-19,Kolkata,Banglore,CCU → BLR,1559,No,17:15,19:50,155,non-stop,No info,4804,Low,0.005137245
Air India,03-03-19,Delhi,Cochin,DEL → AMD → BOM → COK,6416,AMD,16:40,19:15,1595,2 stops,No info,14011,Mid,0.021058997
SpiceJet,15-04-19,Delhi,Cochin,DEL → PNQ → COK,2518,PNQ,8:45,13:15,270,1 stop,No info,5830,Low,0.001254815
Jet Airways,12-06-19,Delhi,Cochin,DEL → BOM → COK,2472,BOM,14:00,12:35,1355,1 stop,In-flight meal not included,10262,High,0.092673869
Air India,12-06-19,Delhi,Cochin,DEL → CCU → BOM → COK,4033,CCU,20:15,19:15,1380,2 stops,No info,13381,Mid,0.029230629
Jet Airways,27-05-19,Delhi,Cochin,DEL → BOM → COK,2472,BOM,16:00,12:35,1235,1 stop,In-flight meal not included,12898,High,0.055619755
GoAir,06-03-19,Delhi,Cochin,DEL → BOM → COK,2472,BOM,14:10,19:20,310,1 stop,No info,19495,Low,0.001261391
Air India,21-03-19,Banglore,New Delhi,BLR → COK → DEL,2448,COK,22:00,13:20,920,1 stop,No info,6955,Mid,0.024396627
IndiGo,03-04-19,Banglore,Delhi,BLR → DEL,1740,No,4:00,6:50,170,non-stop,No info,3943,Low,0.006068435
IndiGo,01-05-19,Banglore,Delhi,BLR → DEL,1740,No,18:55,21:50,175,non-stop,No info,4823,Low,0.005391613
Jet Airways,06-05-19,Kolkata,Banglore,CCU → BOM → BLR,2507,BOM,18:55,8:15,800,1 stop,In-flight meal not included,7757,High,0.096462869
Jet Airways,09-06-19,Delhi,Cochin,DEL → IDR → BOM → COK,2240,IDR,21:25,12:35,910,2 stops,No info,13292,High,0.092673869
IndiGo,01-06-19,Delhi,Cochin,DEL → LKO → COK,2357,LKO,21:50,3:35,345,1 stop,No info,8238,Low,0.016803179
GoAir,15-05-19,Delhi,Cochin,DEL → BOM → COK,2472,BOM,7:00,12:55,355,1 stop,No info,7682,Low,0.001033037
Vistara,18-06-19,Banglore,Delhi,BLR → DEL,1740,No,9:45,12:35,170,non-stop,No info,4668,Mid,0.002233631
Vistara,15-06-19,Chennai,Kolkata,MAA → CCU,1366,No,7:05,9:20,135,non-stop,No info,3687,Mid,0.001620009
Vistara,18-06-19,Chennai,Kolkata,MAA → CCU,1366,No,7:05,9:20,135,non-stop,No info,3687,Mid,0.001620009
Air India,01-05-19,Kolkata,Banglore,CCU → GAU → DEL → BLR,3693,GAU,9:50,23:15,805,2 stops,No info,13227,Mid,0.032907883
IndiGo,06-04-19,Banglore,Delhi,BLR → DEL,1740,No,4:00,6:50,170,non-stop,No info,4423,Low,0.006068435
Jet Airways,15-06-19,Delhi,Cochin,DEL → NAG → BOM → COK,2596,NAG,14:35,12:35,1320,2 stops,In-flight meal not included,10919,High,0.092673869
Jet Airways,18-05-19,Delhi,Cochin,DEL → BOM → COK,2472,BOM,7:05,12:35,330,1 stop,In-flight meal not included,12373,High,0.055619755
IndiGo,27-06-19,Delhi,Cochin,DEL → BOM → COK,2472,BOM,10:35,21:00,625,1 stop,No info,5894,Low,0.016803179
SpiceJet,21-05-19,Kolkata,Banglore,CCU → MAA → BLR,1650,MAA,15:05,20:20,315,1 stop,No info,4649,Low,0.004804334
Air India,18-05-19,Kolkata,Banglore,CCU → BLR,1559,No,14:15,16:45,150,non-stop,No info,6245,Mid,0.032907883
Jet Airways,06-03-19,Banglore,New Delhi,BLR → BOM → DEL,2251,BOM,7:00,13:15,375,1 stop,No info,19225,High,0.066758984
Jet Airways,03-06-19,Delhi,Cochin,DEL → BOM → COK,2472,BOM,7:05,19:00,715,1 stop,No info,14924,High,0.092673869
Multiple carriers,21-05-19,Delhi,Cochin,DEL → HYD → COK,2118,HYD,7:05,18:10,665,1 stop,No info,9646,High,0.039017972
Air India,15-03-19,Banglore,New Delhi,BLR → BOM → DEL,2251,BOM,6:45,15:15,510,1 stop,No info,8714,Mid,0.024396627
Jet Airways,18-05-19,Delhi,Cochin,DEL → BOM → COK,2472,BOM,20:55,19:00,1325,1 stop,In-flight meal not included,12373,High,0.055619755
Air Asia,06-05-19,Banglore,Delhi,BLR → DEL,1740,No,11:10,13:55,165,non-stop,No info,3383,Low,0.001171212
Multiple carriers,21-03-19,Delhi,Cochin,DEL → BOM → COK,2472,BOM,9:00,21:00,720,1 stop,No info,13062,High,0.042119816
SpiceJet,24-03-19,Banglore,New Delhi,BLR → DEL,1740,No,5:45,8:35,170,non-stop,No check-in baggage included,3527,Low,0.002740599
IndiGo,27-05-19,Banglore,Delhi,BLR → DEL,1740,No,4:00,6:50,170,non-stop,No info,3943,Low,0.005391613
Air India,03-05-19,Chennai,Kolkata,MAA → CCU,1366,No,11:40,13:55,135,non-stop,No info,4667,Mid,0.000444731
Air India,15-05-19,Kolkata,Banglore,CCU → HYD → BLR,1965,HYD,19:00,11:05,965,1 stop,No info,6117,Mid,0.032907883
Jet Airways,27-06-19,Delhi,Cochin,DEL → AMD → BOM → COK,6416,AMD,23:05,19:00,1195,2 stops,In-flight meal not included,11150,High,0.092673869
Jet Airways,09-03-19,Delhi,Cochin,DEL → COK,2081,No,11:00,14:15,195,non-stop,In-flight meal not included,7202,High,0.040169935
Jet Airways,01-05-19,Kolkata,Banglore,CCU → DEL → BLR,3299,DEL,9:35,10:55,1520,1 stop,No info,12121,High,0.096462869
IndiGo,24-03-19,Banglore,New Delhi,BLR → DEL,1740,No,22:20,1:10,170,non-stop,No info,4377,Low,0.011442832
IndiGo,18-06-19,Banglore,Delhi,BLR → DEL,1740,No,21:15,0:15,180,non-stop,No info,3943,Low,0.005589388
Air Asia,03-04-19,Banglore,Delhi,BLR → DEL,1740,No,23:55,2:45,170,non-stop,No info,4483,Low,0.000953288
Jet Airways,24-03-19,Kolkata,Banglore,CCU → BOM → BLR,2507,BOM,19:45,12:00,975,1 stop,No info,14231,High,0.012528831
Air India,01-03-19,Banglore,New Delhi,BLR → BOM → AMD → DEL,2209,BOM,8:50,23:55,905,2 stops,No info,17345,Mid,0.024396627
Vistara,06-03-19,Chennai,Kolkata,MAA → CCU,1366,No,7:05,9:20,135,non-stop,No info,7414,Mid,0.000463483
Multiple carriers,06-05-19,Delhi,Cochin,DEL → BOM → COK,2472,BOM,19:00,1:30,390,1 stop,No info,8073,High,0.039017972
Vistara,06-03-19,Mumbai,Hyderabad,BOM → DEL → HYD,2669,DEL,15:40,16:45,1505,1 stop,No info,12395,Mid,0.003001829
Air India,06-06-19,Kolkata,Banglore,CCU → BOM → BLR,2507,BOM,9:25,21:50,745,1 stop,No info,8366,Mid,0.012242244
Air India,03-04-19,Delhi,Cochin,DEL → MAA → COK,2744,MAA,6:05,9:25,1640,1 stop,No info,5117,Mid,0.002944092
Multiple carriers,03-06-19,Delhi,Cochin,DEL → BOM → COK,2472,BOM,8:45,19:00,615,1 stop,No info,12524,High,0.055466841
IndiGo,15-05-19,Delhi,Cochin,DEL → BOM → COK,2472,BOM,15:00,1:30,630,1 stop,No info,7191,Low,0.012972695
Vistara,24-05-19,Chennai,Kolkata,MAA → CCU,1366,No,7:05,9:20,135,non-stop,No info,3687,Mid,0.001327238
IndiGo,24-06-19,Delhi,Cochin,DEL → BOM → COK,2472,BOM,10:35,21:00,625,1 stop,No info,5894,Low,0.016803179
Vistara,24-04-19,Banglore,Delhi,BLR → DEL,1740,No,9:45,12:35,170,non-stop,No info,5403,Mid,0.002563821
Air India,06-05-19,Mumbai,Hyderabad,BOM → HYD,622,No,13:55,15:25,90,non-stop,No info,3625,Mid,0.001061985
Air India,21-05-19,Delhi,Cochin,DEL → BHO → BOM → COK,2303,BHO,5:55,19:15,800,2 stops,No info,10861,Mid,0.020984595
IndiGo,12-03-19,Chennai,Kolkata,MAA → CCU,1366,No,13:20,15:35,135,non-stop,No info,6297,Low,0.003638946
